County,Enrollment_2013,PBE_2013,PME_2013,Enrollment_2014,PBE_2014,PME_2014,CTFIPS,County_fips
alameda,19633,347,45,20707,413,37,06001,6001
amador,291,28,0,266,7,0,06005,6005
butte,2661,188,3,2707,221,15,06007,6007
calaveras,443,48,0,401,48,0,06009,6009
colusa,426,1,0,396,2,0,06011,6011
contra costa,14786,338,15,14603,363,23,06013,6013
del norte,316,24,0,320,36,0,06015,6015
el dorado,2190,195,10,2157,245,4,06017,6017
fresno,17749,278,12,17895,256,26,06019,6019
glenn,488,5,1,293,2,0,06021,6021
humboldt,1539,163,1,1530,208,6,06023,6023
imperial,2939,18,2,3086,19,3,06025,6025
inyo,188,2,2,233,5,0,06027,6027
kern,16145,426,87,16031,364,93,06029,6029
kings,2753,24,1,2705,30,4,06031,6031
lake,813,40,1,835,59,0,06033,6033
lassen,367,17,0,350,45,0,06035,6035
los angeles,130054,2865,218,129494,2922,169,06037,6037
madera,2750,56,1,2229,60,5,06039,6039
marin,3409,257,3,3290,244,6,06041,6041
mariposa,111,13,0,157,32,0,06043,6043
mendocino,1139,97,2,1157,98,3,06045,6045
merced,4855,52,5,5178,75,2,06047,6047
modoc,137,8,1,104,6,0,06049,6049
mono,126,9,0,136,17,0,06051,6051
monterey,6964,114,6,6938,146,8,06053,6053
napa,1705,63,0,1883,71,3,06055,6055
nevada,837,170,0,838,230,4,06057,6057
orange,42781,1545,108,41821,1682,118,06059,6059
placer,5546,421,12,5485,522,22,06061,6061
plumas,157,16,0,140,13,0,06063,6063
riverside,33735,951,49,34353,1172,59,06065,6065
sacramento,19181,1031,30,19462,1197,39,06067,6067
san benito,896,7,1,880,10,2,06069,6069
san bernardino,32472,905,50,33643,970,58,06071,6071
san diego,43026,1918,98,43607,1945,95,06073,6073
san francisco,6535,106,11,6515,166,9,06075,6075
san joaquin,10977,158,14,11697,175,21,06077,6077
san luis obispo,2864,230,5,2928,187,11,06079,6079
san mateo,9299,208,15,9284,192,17,06081,6081
santa barbara,6304,292,7,6594,240,9,06083,6083
santa clara,26021,445,62,24460,500,60,06085,6085
santa cruz,3602,332,11,3640,459,10,06087,6087
shasta,2301,190,9,2186,252,4,06089,6089
sierra,23,0,0,25,0,0,06091,6091
siskiyou,427,57,1,440,35,0,06093,6093
solano,5360,82,5,5255,118,4,06095,6095
sonoma,6478,388,12,6466,457,14,06097,6097
stanislaus,9109,370,26,8852,361,13,06099,6099
sutter,1717,126,1,1840,160,6,06101,6101
tehama,996,39,1,946,37,1,06103,6103
trinity,98,21,0,87,10,0,06105,6105
tulare,8695,134,10,9286,107,12,06107,6107
tuolumne,518,79,1,438,45,0,06109,6109
ventura,11757,393,25,12048,506,11,06111,6111
yolo,2555,94,3,2478,105,2,06113,6113
yuba,1274,31,0,1251,31,1,06115,6115
